"Focus","Non-Focus","Off-Color Focus","Off-Color Non-Focus","Trash","OrbSpent"
11,13,8,1,515,2557
11,14,4,1,434,2170
11,13,2,2,334,1681
11,10,1,1,260,1321
11,6,2,0,219,1104
11,11,0,3,386,1917
11,10,1,0,287,1429
11,4,6,2,366,1801
11,9,2,4,330,1659
11,8,1,1,291,1455
11,18,3,5,521,2607
11,9,1,2,298,1484
11,6,0,5,305,1533
11,8,4,0,307,1539
11,9,1,0,284,1430
11,10,3,2,229,1185
11,9,2,4,358,1786
11,12,0,4,391,1953
11,11,4,1,410,2048
11,10,5,2,403,2023
11,1,1,0,174,867
11,10,2,1,390,1932
11,6,0,4,346,1708
11,1,4,1,231,1164
11,13,2,5,492,2435
11,8,2,1,233,1189
11,18,0,0,316,1615
11,29,5,7,693,3481
11,2,1,0,144,729
11,6,1,1,232,1165
11,5,1,0,196,981
11,11,0,2,354,1753
11,11,0,3,370,1858
11,14,3,1,412,2065
11,4,0,2,259,1290
11,8,3,2,361,1801
11,12,0,1,391,1937
11,10,2,5,366,1835
11,15,5,1,313,1611
11,9,1,1,357,1751
11,7,2,4,295,1492
11,9,1,5,437,2158
11,7,2,3,237,1208
11,7,1,1,257,1279
11,8,2,1,244,1233
11,10,2,1,256,1294
11,5,0,1,84,472
11,9,6,2,403,2007
11,25,5,5,618,3091
11,15,4,2,421,2099
11,10,1,3,331,1658
11,7,3,1,337,1676
11,20,4,2,376,1913
11,16,1,3,403,2026
11,10,0,3,310,1573
11,4,1,6,304,1528
11,16,0,4,425,2120
11,4,1,0,268,1342
11,4,2,3,200,1034
11,9,0,1,222,1129
11,12,0,2,309,1556
11,17,3,4,452,2270
11,23,6,2,570,2867
11,8,6,3,338,1708
11,12,5,5,312,1600
11,11,2,3,264,1354
11,6,2,3,360,1779
11,8,1,1,239,1211
11,15,3,0,372,1860
11,21,3,3,572,2834
11,15,0,1,305,1538
11,10,2,0,254,1284
11,4,1,2,266,1329
11,7,2,3,342,1699
11,17,5,1,416,2096
11,15,2,1,400,1993
11,10,4,0,293,1485
11,16,3,4,414,2078
11,5,2,4,400,1977
11,16,2,4,476,2382
11,1,0,0,210,1027
11,8,1,3,352,1756
11,23,0,3,463,2333
11,6,5,3,300,1528
11,10,2,1,219,1131
11,11,1,6,344,1738
11,12,2,4,342,1735
11,12,2,2,480,2360
11,3,1,0,250,1222
11,12,5,3,557,2746
11,12,1,3,337,1710
11,15,3,4,417,2106
11,12,2,2,441,2183
11,9,2,5,348,1754
11,5,0,1,189,953
