"Legendary 1","Legendary 2","Legendary 3","Off-Color Legendary 1","Off-Color Legendary 2","Off-Color Legendary 3","Trash","OrbSpent"
11,12,12,3,3,2,464,2378
11,8,9,5,1,2,460,2311
11,9,11,0,3,2,409,2081
11,9,12,0,2,2,343,1752
11,20,11,3,2,1,536,2718
11,16,14,5,5,3,607,3081
11,10,9,0,1,1,389,1951
11,7,4,1,1,0,300,1524
11,6,2,2,0,1,208,1056
11,15,11,2,2,3,457,2341
11,20,13,2,1,2,491,2515
11,5,7,0,0,1,272,1361
11,10,16,0,5,4,468,2388
11,12,13,2,3,4,493,2514
11,15,16,0,3,2,532,2706
11,11,15,4,2,0,485,2448
11,16,14,5,7,1,533,2748
11,7,6,1,0,2,248,1292
11,7,8,3,1,2,328,1680
11,7,8,1,2,0,395,1962
11,7,10,1,3,1,325,1653
11,7,8,3,0,0,336,1707
11,5,9,2,3,2,507,2521
11,10,8,5,5,3,439,2255
11,20,23,4,2,11,730,3731
11,12,21,3,2,2,564,2857
11,11,7,3,0,2,409,2067
11,12,1,6,2,1,393,2000
11,10,15,5,1,4,465,2377
11,12,17,2,3,1,536,2709
11,24,11,1,2,1,662,3328
11,7,9,0,1,3,278,1439
11,12,8,2,1,0,418,2099
11,23,15,1,2,3,534,2755
11,5,5,2,2,0,270,1387
11,11,15,2,5,3,589,2978
11,9,7,1,3,3,243,1291
11,11,10,0,1,2,306,1580
11,9,16,2,4,4,365,1914
11,2,7,0,1,2,165,880
11,7,9,0,1,2,348,1766
11,10,9,1,2,2,286,1501
11,6,6,1,0,1,241,1242
11,11,16,1,3,4,429,2218
11,12,17,3,2,8,619,3142
11,13,16,0,3,2,310,1643
11,17,7,6,5,1,482,2478
11,17,6,1,4,2,456,2328
11,10,12,4,2,1,408,2085
11,8,16,1,1,2,459,2320
11,12,8,1,2,1,306,1597
11,11,9,1,2,1,382,1937
11,9,6,2,0,3,431,2155
11,8,7,3,3,2,399,2023
11,18,20,4,1,2,630,3190
11,9,7,3,1,2,303,1563
11,18,21,4,3,2,651,3305
11,13,19,3,9,2,559,2877
11,8,16,3,2,2,632,3119
11,10,12,0,2,0,282,1476
11,5,4,2,0,2,304,1532
11,17,22,0,3,4,560,2873
11,5,11,1,1,0,298,1509
11,4,3,0,2,0,216,1095
11,7,4,2,3,1,301,1524
11,19,20,2,1,1,744,3713
11,10,8,2,5,3,392,2009
11,8,12,3,1,3,316,1657
11,12,8,0,1,4,424,2140
11,11,7,3,1,3,347,1781
11,8,11,4,3,3,379,1960
11,16,8,2,3,2,396,2034
11,16,11,1,2,2,395,2035
11,7,9,0,2,2,316,1616
11,15,14,3,2,3,397,2073
11,8,7,1,4,2,399,2021
11,14,17,4,2,4,542,2761
11,9,10,2,2,1,420,2115
11,6,4,1,1,0,172,908
11,7,8,1,1,3,333,1696
11,5,5,1,0,0,297,1487
11,7,8,2,0,0,357,1784
11,13,21,2,4,3,457,2388
11,18,27,4,2,3,607,3123
11,13,11,1,4,2,487,2470
11,6,8,2,4,3,432,2181
11,3,5,0,0,1,193,988
11,4,9,0,3,1,295,1502
11,11,19,2,3,3,402,2113
11,16,12,3,3,0,380,1981
11,15,18,6,2,5,660,3336
11,9,11,2,2,2,463,2343
11,12,15,1,2,0,508,2552
11,12,9,1,2,3,287,1515
11,19,23,3,2,4,614,3155
11,10,8,0,1,5,368,1883
11,3,8,1,0,1,331,1661
11,14,17,1,2,4,550,2809
11,14,11,2,2,1,422,2175
11,19,16,3,2,5,550,2822
11,16,6,2,3,1,410,2089
11,15,8,2,1,2,355,1850
11,8,8,0,0,5,380,1924
11,19,6,1,1,1,366,1886
11,14,12,3,1,1,366,1894
11,8,11,2,2,0,383,1938
11,2,5,0,1,2,179,941
11,16,11,4,0,2,400,2056
11,5,8,1,1,1,308,1550
11,8,11,2,0,4,441,2236
11,10,11,1,1,1,395,2003
11,7,11,1,2,3,355,1817
11,11,6,2,0,1,296,1534
11,11,10,2,1,1,343,1769
11,13,16,3,1,4,371,1959
11,9,7,5,1,4,391,2005
11,11,4,1,0,0,303,1528
11,18,9,4,3,0,420,2180
11,7,5,1,2,0,278,1403
11,21,24,7,3,4,690,3540
11,11,9,3,3,1,401,2062
11,8,5,0,2,0,205,1071
11,8,12,2,4,1,397,2017
11,8,7,1,2,2,268,1397
11,15,13,2,1,2,416,2129
11,16,5,3,3,1,407,2075
11,8,9,1,3,1,398,2023
11,12,5,1,0,1,315,1606
11,7,8,0,5,1,257,1344
11,2,5,2,2,1,275,1379
11,9,11,2,0,2,314,1622
11,10,16,3,3,4,403,2111
11,14,28,3,7,4,688,3515
11,15,8,2,4,3,451,2294
11,12,16,1,4,1,604,3010
11,11,3,5,2,3,360,1833
11,9,10,2,3,2,347,1789
11,14,28,1,2,2,620,3165
11,7,18,1,4,4,545,2761
11,2,10,1,2,1,288,1478
11,11,8,2,1,4,318,1646
11,7,13,0,1,1,266,1388
11,13,7,3,1,1,329,1704
11,4,4,0,2,2,150,799
11,10,5,2,1,0,337,1693
11,8,12,1,1,1,261,1379
11,7,7,0,0,2,246,1269
11,6,8,0,1,2,320,1630
11,7,11,2,2,1,384,1934
11,8,16,1,3,0,462,2336
11,10,15,1,1,2,453,2307
